n,e_log_n,n
1,0,1
1.1,0.25908,1.1
1.2,0.495601,1.2
1.3,0.71318,1.3
1.4,0.914626,1.4
1.5,1.10217,1.5
1.6,1.2776,1.6
1.7,1.4424,1.7
1.8,1.59777,1.8
1.9,1.74474,1.9
2,1.88417,2
2.1,2.01679,2.1
2.2,2.14325,2.2
2.3,2.26408,2.3
2.4,2.37977,2.4
2.5,2.49074,2.5
2.6,2.59735,2.6
2.7,2.69994,2.7
2.8,2.7988,2.8
2.9,2.89418,2.9
3,2.98634,3
3.1,3.07547,3.1
3.2,3.16177,3.2
3.3,3.24542,3.3
3.4,3.32657,3.4
3.5,3.40536,3.5
3.6,3.48194,3.6
3.7,3.55642,3.7
3.8,3.62891,3.8
3.9,3.69952,3.9
4,3.76834,4
4.1,3.83546,4.1
4.2,3.90096,4.2
4.3,3.96493,4.3
4.4,4.02742,4.4
4.5,4.08851,4.5
4.6,4.14825,4.6
4.7,4.20671,4.7
4.8,4.26394,4.8
4.9,4.31999,4.9
5,4.37491,5
5.1,4.42873,5.1
6.1,4.91544,6.1
7.1,5.32809,7.1
8.1,5.68628,8.1
9.1,6.00271,9.1
