n,n^e,e^n
0,0,1
0.1,0.00191301,1.10517
0.2,0.0125893,1.2214
0.3,0.0379025,1.34986
0.4,0.0828489,1.49182
0.5,0.151955,1.64872
0.6,0.249432,1.82212
0.7,0.379256,2.01375
0.8,0.545219,2.22554
0.9,0.750962,2.4596
1,1,2.71828
1.1,1.29574,3.00417
1.2,1.64149,3.32012
1.3,2.04047,3.6693
1.4,2.49584,4.0552
1.5,3.01069,4.48169
1.6,3.58803,4.95303
1.7,4.23083,5.47395
1.8,4.942,6.04965
1.9,5.72441,6.68589
2,6.58089,7.38906
2.1,7.5142,8.16617
2.2,8.5271,9.02501
2.3,9.62228,9.97418
2.4,10.8024,11.0232
2.5,12.0702,12.1825
2.6,13.4281,13.4637
2.7,14.8788,14.8797
2.8,16.4249,16.4446
2.9,18.0687,18.1741
3,19.813,20.0855
3.1,21.6601,22.198
3.2,23.6124,24.5325
3.3,25.6724,27.1126
3.4,27.8426,29.9641
3.5,30.1252,33.1155
3.6,32.5227,36.5982
3.7,35.0374,40.4473
3.8,37.6717,44.7012
3.9,40.4278,49.4024
4,43.3081,54.5982
4.1,46.3147,60.3403
4.2,49.4501,66.6863
4.3,52.7164,73.6998
4.4,56.1159,81.4509
4.5,59.6507,90.0171
4.6,63.3232,99.4843
4.7,67.1354,109.947
4.8,71.0895,121.51
4.9,75.1878,134.29
5,79.4324,148.413
5.1,83.8253,164.022
5.2,88.3688,181.272
5.3,93.0649,200.337
5.4,97.9158,221.406
5.5,102.923,244.692
5.6,108.09,270.426
5.7,113.418,298.867
5.8,118.908,330.3
5.9,124.564,365.037
6,130.387,403.429
6.1,136.379,445.858
6.2,142.542,492.749
6.3,148.879,544.572
6.4,155.39,601.845
6.5,162.079,665.142
6.6,168.947,735.095
6.7,175.997,812.406
6.8,183.229,897.847
6.9,190.646,992.275
7,198.251,1096.63
7.1,206.044,1211.97
7.2,214.028,1339.43
7.3,222.206,1480.3
7.4,230.577,1635.98
7.5,239.146,1808.04
7.6,247.913,1998.2
7.7,256.881,2208.35
7.8,266.051,2440.6
7.9,275.425,2697.28
8,285.005,2980.96
8.1,294.794,3294.47
8.2,304.792,3640.95
8.3,315.002,4023.87
8.4,325.426,4447.07
8.5,336.064,4914.77
8.6,346.921,5431.66
8.7,357.996,6002.91
8.8,369.292,6634.24
8.9,380.811,7331.97
9,392.555,8103.08
9.1,404.524,8955.29
9.2,416.722,9897.13
9.3,429.15,10938
9.4,441.81,12088.4
9.5,454.704,13359.7
9.6,467.832,14764.8
9.7,481.198,16317.6
9.8,494.802,18033.7
9.9,508.648,19930.4
10,522.735,22026.5
